0.75	0.78	1
0.75	-0.20	1
-0.13	0.98	1
-0.18	-0.03	0
0.24	1.09	1
1.00	-0.05	1
1.09	0.75	1
0.12	0.97	1
0.08	0.17	0
1.21	-0.04	1
-0.20	0.14	0
1.25	0.96	1
0.04	0.23	0
0.90	0.89	1
0.07	-0.12	0
-0.11	1.01	1
0.09	-0.15	0
1.16	0.75	1
-0.18	0.83	1
1.21	0.82	1
-0.24	0.01	0
0.23	0.17	0
0.85	0.25	1
0.08	-0.10	0
-0.09	0.15	0
1.17	0.06	1
0.90	0.18	1
0.14	0.93	1
1.01	0.12	1
0.90	0.90	1
0.75	-0.25	1
0.25 	0.25	0
1.00	0.14	1
-0.14	0.75	1
0.83	-0.21	1
-0.24	0.76	1
0.14	0.02	0
0.16	0.20	0
0.78	0.86	1
0.22	1.25	1
0.88	0.85	1
1.23	-0.16	1
1.16	1.17	1
0.75	0.21	1
-0.20	0.19	0
0.02	-0.17	0
0.09	0.20	0
0.19	-0.05	0
-0.18	0.91	1
-0.13	1.16	1
0.20	0.05	0
0.75	0.90	1
0.00	-0.13	0
-0.17	-0.17	0
0.12	0.85	1
1.14	0.02	1
0.89	1.20	1
0.76	0.19	1
1.17	0.02	1
-0.01	-0.03	1
0.81	-0.03	1
0.25	0.86	1
