0.80	1.07	1
-0.03	-0.17	0
0.70	0.25	0
0.75	1.13	1
0.75	0.23	0
1.17	1.04	1
0.19	0.93	0
1.02	0.23	0
0.75	1.07	1
-0.10	0.24	0
0.25 	1.25	0
1.25 	0.25	0
0.82	0.11	0
0.19	0.81	0
1.19	0.83	1
0.75	0.20	0
0.03	-0.21	0
0.93	1.01	1
1.20	0.85	1
0.03	0.83	0
0.80	1.03	1
0.87	0.78	1
0.80	0.24	0
0.19	1.18	0
0.11	0.75	0
1.10	1.05	1
0.94	-0.18	0
0.22	0.99	0
0.97	0.95	1
0.10	0.82	0
0.20	0.24	0
-0.23	0.87	0
0.75	-0.25	0
0.75	0.75	1
0.25	0.82	0
0.95	0.99	1
0.03	0.19	0
-0.08	0.15	0
0.95	-0.20	0
0.79	0.85	1
0.84	0.20	0
0.02	0.92	0
0.92	0.22	0
0.89	0.90	1
0.90	0.13	0
0.99	0.15	0
0.96	0.75	1
0.95	0.07	0
0.82	-0.15	0
0.90	-0.11	0
0.21	0.85	0
0.27	0.16	0
0.79	0.78	1
0.22	0.89	0
1.20	0.98	1
-0.15	0.96	0
0.92	0.23	0
-0.17	0.75	0
0.79	-0.08	0
-0.15	0.76	0
1.09	0.89	1
0.18	0.83	0
-0.08	0.75	0
0.24	-0.07	0
0.79	0.99	1
